"Country","Site","Station"
"Comoros",NA,"bambao"
"Comoros",NA,"bimbini"
"Comoros",NA,"Itsandra"
"Comoros",NA,"Mea"
"Comoros",NA,"mitsamiuli"
"Comoros",NA,"Moroni"
"Comoros",NA,"nkandzoni"
"Comoros",NA,"Sambia"
"Comoros",NA,"wani"
"Kenya","Diani-Chale","Chidzamba_cha_mekka"
"Kenya","Diani-Chale","Mtengo"
"Kenya","Diani-Chale","Mwagogo"
"Kenya","Diani-Chale","Tsipitali"
"Kenya","Kilifi","Kanamai"
"Kenya","Kilifi","Kuruwitu"
"Kenya","Kisite","Light_house"
"Kenya","Kisite","Mkwiro"
"Kenya","Lamu","Iweni"
"Kenya","Lamu","Majongooni"
"Kenya","Lamu","Pezali_Rock"
"Kenya","Lamu","Tausi"
"Kenya","Malindi","Kivulini"
"Kenya","Malindi","Mayunguni"
"Kenya","Malindi","New_Coral_Garden"
"Kenya","Malindi","North_Reef"
"Kenya","Malindi","Old_Coral_Garden"
"Kenya","Mombasa","Coral_Garden"
"Kenya","Mombasa","Nyali"
"Kenya","Mombasa","Ras_Iwatine"
"Kenya","Mombasa","Starfish"
"Kenya","Shimoni","Kibuyuni"
"Kenya","Shimoni","Mpunguti-Lower"
"Kenya","Shimoni","Mpunguti-Upper"
"Kenya","Shimoni","Wasini_Tengefu"
"Kenya","Watamu","Coral_Garden"
"Kenya","Watamu","Coral_Garden_2"
"Kenya","Watamu","Richard_Bernets"
"Kenya","Watamu","Richard_Bernets_2"
"Kenya","Watamu","Uyombo"
"Madagascar","Andavadoaka","Lost"
"Madagascar","Andavadoaka","Ns_Coco_Beach"
"Madagascar","Andavadoaka","Recruitment_North"
"Madagascar","Nosy Be","Home_Reef"
"Madagascar","Nosy Be","Nosy_Vorona"
"Madagascar","Nosy Be","Three_Brothers"
"Madagascar","Nosy Be","Turtle_towers"
"Madagascar","Nosy Komba","Dragon's_Den"
"Madagascar","Nosy Komba","Galaxea"
"Madagascar","Nosy Komba","Turtle_Towers"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_1"
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_2"
"Mauritius","Anse La Raie Lagoon","Live_Branching_Coral"
"Mauritius","Anse La Raie Lagoon","Live_Lettuce_Coral"
"Mauritius","Anse La Raie Lagoon","Snorkeling_trail"
"Seychelles","Aldabra","All_deep_sites"
"Seychelles","Aldabra","All_shallow_sites"
"Seychelles","Alphonse","A1"
"Seychelles","Alphonse","A11"
"Seychelles","Alphonse","A15"
"Seychelles","Alphonse","A18"
"Seychelles","Alphonse","A7"
"Seychelles","Alphonse","A8"
"Seychelles","Cerf Island","Cerf_Island"
"Seychelles","Cerf Island","Fairy_Tern"
"Seychelles","Cerf Island","Habitation"
"Seychelles","Desroches","Aquarium"
"Seychelles","Desroches","Lobster_rock"
"Seychelles","Desroches","Oxi_rock"
"Seychelles","Mahe NW","Anse_Major_Point"
"Seychelles","Mahe NW","Anse_Major_Reef"
"Seychelles","Mahe NW","Auberge_Reef"
"Seychelles","Mahe NW","Bay_Ternay_Centre"
"Seychelles","Mahe NW","Bay_Ternay_Lighthouse"
"Seychelles","Mahe NW","Bay_Ternay_North_East"
"Seychelles","Mahe NW","Bay_Ternay_North_West"
"Seychelles","Mahe NW","Conception_Central_East_Face"
"Seychelles","Mahe NW","Conception_North_Point"
"Seychelles","Mahe NW","Corsaire_Reef"
"Seychelles","Mahe NW","L'ilot_North_Face"
"Seychelles","Mahe NW","Port_Launay_South_Reef"
"Seychelles","Mahe NW","Port_Launay_West_Rocks"
"Seychelles","Mahe NW","Ray's_Point"
"Seychelles","Mahe NW","Secret_Beach_Reef"
"Seychelles","Mahe NW","Site_X"
"Seychelles","Mahe NW","Site_Y"
"Seychelles","Mahe NW","Therese_North_East"
"Seychelles","Mahe NW","Therese_North_End"
"Seychelles","Mahe NW","Therese_South"
"Seychelles","Mahe NW","Whale_Rock"
"Seychelles","Mahe NW","White_Villa_Reef"
"Seychelles","Mahe NW","Willie's_Bay_Point"
"Seychelles","Mahe NW","Willie's_Bay_Reef"
"Seychelles","North Reef","Coral_Gardens_North"
"Seychelles","North Reef","Coral_Gardens_South"
"Seychelles","North Reef","House_Reef"
"Seychelles","North Reef","North_East_Point"
"Seychelles","North Reef","Sprat_City"
"Tanzania","Mafia","Kitutia"
"Tanzania","Mafia","Msumbiji"
"Tanzania","Mafia","Utumbi"
"Tanzania","Mafia","Yuyuni"
"Tanzania","Mtwara","Bwahari"
"Tanzania","Mtwara","Kitelele"
"Tanzania","Mtwara","Lanzi"
"Tanzania","Mtwara","Matenga"
"Tanzania","Mtwara","Naumbu"
"Tanzania","Mtwara","Pemba"
"Tanzania","Songosongo","Amana_South"
"Tanzania","Songosongo","Jewe"
"Tanzania","Songosongo","Machangi_East"
"Tanzania","Songosongo","Pwayasi"
"Tanzania","Songosongo","Songosongo"
"Tanzania","Tanga","Funguni"
"Tanzania","Tanga","Kitanga"
"Tanzania","Tanga","Makome"
"Tanzania","Tanga","Maziwe_South"
"Tanzania","Tanga","Taa"
"Tanzania","Zanzibar","Bawe"
"Tanzania","Zanzibar","Changuu"
"Tanzania","Zanzibar","Chapwani"
"Tanzania","Zanzibar","Chumbe_MPA"
"Tanzania","Zanzibar","Murogo"
